Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      384.3   346.9   160.7   213.2   225.6   339.7   427.9   478.4   512.4   546.4   585.2   635.3   767.8  1853.4 12415.2  30949.5    31016
read      384.1   295.5   160.7   214.0   226.3   337.0   415.3   464.7   502.7   546.8   599.8   666.2   836.7  2045.8 11768.2  47384.8    47394
read      369.6   266.0   160.7   218.2   230.8   331.4   388.6   422.7   449.8   484.9   534.7   615.6   899.5  2250.3  8205.6  95306.8    95335
read      378.8   531.8   173.5   232.9   255.4   348.0   385.9   404.6   420.2   435.8   460.1   498.6   779.4  6091.0 29850.2   5197.8     5252
read      402.9   357.2   160.7   213.1   226.3   334.3   403.7   451.7   490.8   540.6   609.3   749.7  1495.8  2500.0 12594.5  65572.0    65908
read      480.9   657.7   173.5   215.4   230.4   432.0   529.1   593.1   639.9   693.9   756.8   846.5  1010.3  4236.0 34195.7  16909.5    16889
read      396.5   269.9   160.7   211.2   224.0   340.1   422.2   474.8   515.3   561.9   618.0   711.1  1204.8  2014.5  8893.3  42844.8    42912
read      371.9   310.5   160.7   217.0   230.4   332.9   389.0   422.6   449.0   482.6   530.1   609.5   907.9  2745.4  9879.5  99809.2    99898
read      440.8   491.0   160.7   215.6   228.6   369.8   473.8   529.2   569.0   620.6   718.7   885.8  1145.6  4054.0 29031.5  26429.0    26385
read      468.9   510.3   160.7   213.9   227.7   400.4   505.8   565.7   616.7   689.9   787.2   913.8  1129.5  5494.1 28848.4  22570.7    22616
